t,q1,q2,q3,p1,p2,p3,K,V
0.0,0.05456385531660124,0.9935629711488728,0.11218853810642293,0.43046903231452605,0.4496897878404942,0.25288649176620204,0.3077312329984246,-0.16666573489095587
0.0048828125,0.056665753713042936,0.9946608360528767,0.11260013641884,0.4304684907962756,0.4496801268103045,0.2528853993432299,0.30772623819281725,-0.16666323748815048
0.009765625,0.0587676485635155,0.995758669924666,0.11301173238878774,0.4304675754023931,0.4496643606279107,0.2528836121169576,0.3077180591747088,-0.16665914797909448
0.0146484375,0.060869537976685484,0.9968564578179381,0.11342332487942769,0.4304662591740774,0.4496424556005821,0.2528811227454923,0.30770665664025826,-0.16665344671186733
0.01953125,0.06297141992929442,0.9979541847042358,0.1138349127419652,0.43046451503385735,0.4496143781202353,0.25287792387907265,0.30769199133802033,-0.1666461140607466
0.0244140625,0.06507329226558263,0.9990518354731556,0.11424649481563691,0.43046231578693617,0.4495800946648208,0.25287400816038563,0.30767402407309946,-0.16663713042828432
0.029296875,0.06717515269671966,1.0001493949325593,0.11465806992769877,0.43045963412254307,0.44953957179971593,0.2528693682248847,0.30765271571133374,-0.16662647624739946
0.0341796875,0.06927699880024128,1.0012468478087897,0.11506963689341448,0.4304564426152934,0.44949277617912536,0.25286399670110915,0.30762802718350823,-0.16661413198348468
0.0390625,0.07137882801949325,1.0023441787468887,0.11548119451604452,0.4304527137265573,0.4494396745474885,0.25285788621100475,0.30759991948959947,-0.16660007813652827
0.0439453125,0.07348063766308163,1.0034413723108198,0.11589274158683567,0.4304484198058359,0.4493802337408944,0.2528510293702459,0.30756835370304925,-0.16658429524325113
0.048828125,0.07558242490433006,1.0045384129836923,0.11630427688501106,0.430443533092147,0.44931442068850336,0.2528434187885587,0.3075332909750685,-0.16656676387925862
0.0537109375,0.07768418678074357,1.005635285167992,0.11671579917776075,0.4304380257154178,0.44924220241397633,0.25283504707004567,0.30749469253897077,-0.16654746466120762
0.05859375,0.07978592019347934,1.0067319731858122,0.11712730722023285,0.43043186969788716,0.4491635460369104,0.25282590681351164,0.3074525197145363,-0.1665263782489882
0.0634765625,0.08188762190682436,1.0078284612790918,0.11753879975552518,0.43042503695551604,0.44907841877428256,0.2528159906127908,0.30740673391240453,-0.16650348534792003
0.068359375,0.08398928854767997,1.008924733609852,0.11795027551467745,0.4304174992994061,0.4489867879418996,0.2528052910570753,0.30735729663849726,-0.16647876671096407
0.0732421875,0.08609091660505325,1.0100207742604406,0.11836173321666388,0.4304092284372272,0.4488886209558557,0.25279380073124497,0.3073041694984703,-0.16645220314094822
0.078125,0.08819250242955556,1.0111165672337799,0.1187731715683866,0.43040019597465384,0.44878388533399655,0.25278151221619855,0.30724731420219537,-0.16642377549280835
0.0830078125,0.09029404223290804,1.0122120964536148,0.11918458926466934,0.43039037341680975,0.4486725486973911,0.2527684180891861,0.3071866925682705,-0.16639346467584354
